date,opera,language,composer
12/1/18,Mefistofele,Italian,Boito
11/24/18,Mefistofele,Italian,Boito
11/27/18,Mefistofele,Italian,Boito
11/16/18,Mefistofele,Italian,Boito
11/19/18,Mefistofele,Italian,Boito
11/8/18,Mefistofele,Italian,Boito
11/12/18,Mefistofele,Italian,Boito
10/18/18,Aida,Italian,Verdi
10/6/18,Aida,Italian,Verdi
10/11/18,Aida,Italian,Verdi
10/15/18,Aida,Italian,Verdi
9/29/18,Aida,Italian,Verdi
10/2/18,Aida,Italian,Verdi
9/26/18,Aida,Italian,Verdi
11/17/18,Tosca,Italian,Puccini
12/15/18,Suor Angelica,Italian,Puccini
11/9/18,Tosca,Italian,Puccini
11/13/18,Tosca,Italian,Puccini
12/8/18,Suor Angelica,Italian,Puccini
11/2/18,Tosca,Italian,Puccini
12/12/18,Suor Angelica,Italian,Puccini
11/5/18,Tosca,Italian,Puccini
11/30/18,Suor Angelica,Italian,Puccini
12/5/18,Suor Angelica,Italian,Puccini
10/25/18,Tosca,Italian,Puccini
10/29/18,Tosca,Italian,Puccini
11/23/18,Suor Angelica,Italian,Puccini
11/26/18,Suor Angelica,Italian,Puccini
10/27/18,La fanciulla del West,Italian,Puccini
10/20/18,La fanciulla del West,Italian,Puccini
12/29/18,La Traviata,Italian,Verdi
10/23/18,La fanciulla del West,Italian,Puccini
12/22/18,La Traviata,Italian,Verdi
10/12/18,La fanciulla del West,Italian,Puccini
10/17/18,La fanciulla del West,Italian,Puccini
12/26/18,La Traviata,Italian,Verdi
12/15/18,La Traviata,Italian,Verdi
3/7/19,Aida,Italian,Verdi
10/4/18,La fanciulla del West,Italian,Puccini
12/18/18,La Traviata,Italian,Verdi
2/28/19,Aida,Italian,Verdi
10/8/18,La fanciulla del West,Italian,Puccini
12/7/18,La Traviata,Italian,Verdi
3/4/19,Aida,Italian,Verdi
12/11/18,La Traviata,Italian,Verdi
12/4/18,La Traviata,Italian,Verdi
1/18/19,Aida,Italian,Verdi
1/11/19,Aida,Italian,Verdi
1/14/19,Aida,Italian,Verdi
1/7/19,Aida,Italian,Verdi
4/6/19,Tosca,Italian,Puccini
3/29/19,Tosca,Italian,Puccini
3/23/19,Tosca,Italian,Puccini
4/2/19,Tosca,Italian,Puccini
3/26/19,Tosca,Italian,Puccini
3/18/19,Tosca,Italian,Puccini
4/27/19,La Traviata,Italian,Verdi
4/20/19,La Traviata,Italian,Verdi
4/24/19,La Traviata,Italian,Verdi
4/13/19,La Traviata,Italian,Verdi
4/17/19,La Traviata,Italian,Verdi
4/5/19,La Traviata,Italian,Verdi
4/10/19,La Traviata,Italian,Verdi
5/11/19,Götterdämmerung,German,Wagner
12/8/18,Les (The Pearl Fishers) Pêcheurs de perles,French,Bizet
5/4/19,Götterdämmerung,German,Wagner
12/1/18,Les (The Pearl Fishers) Pêcheurs de perles,French,Bizet
11/24/18,Les (The Pearl Fishers) Pêcheurs de perles,French,Bizet
11/28/18,Les (The Pearl Fishers) Pêcheurs de perles,French,Bizet
11/17/18,Les (The Pearl Fishers) Pêcheurs de perles,French,Bizet
11/10/18,Carmen,French,Bizet
11/15/18,Carmen,French,Bizet
11/20/18,Les (The Pearl Fishers) Pêcheurs de perles,French,Bizet
11/14/18,Les (The Pearl Fishers) Pêcheurs de perles,French,Bizet
11/3/18,Carmen,French,Bizet
11/6/18,Carmen,French,Bizet
10/30/18,Carmen,French,Bizet
12/28/18,Otello,Italian,Verdi
12/21/18,Otello,Italian,Verdi
12/14/18,Otello,Italian,Verdi
12/17/18,Otello,Italian,Verdi
12/31/18,Adriana Lecouvreur,Italian,Cilea
3/16/19,Falstaff,Italian,Verdi
3/8/19,Falstaff,Italian,Verdi
3/2/19,Falstaff,Italian,Verdi
3/12/19,Falstaff,Italian,Verdi
3/5/19,Falstaff,Italian,Verdi
2/22/19,Falstaff,Italian,Verdi
2/27/19,Falstaff,Italian,Verdi
5/7/19,Die Walküre,German,Wagner
4/25/19,Die Walküre,German,Wagner
4/30/19,Die Walküre,German,Wagner
2/8/19,Carmen,French,Bizet
2/2/19,Carmen,French,Bizet
1/26/19,Carmen,French,Bizet
2/5/19,Carmen,French,Bizet
1/29/19,Carmen,French,Bizet
3/30/19,Die Walküre,German,Wagner
1/12/19,Carmen,French,Bizet
1/17/19,Carmen,French,Bizet
1/21/19,Carmen,French,Bizet
1/9/19,Carmen,French,Bizet
3/25/19,Die Walküre,German,Wagner
4/20/19,La Clemenza di Tito,Italian,Mozart
4/6/19,La Clemenza di Tito,Italian,Mozart
4/11/19,La Clemenza di Tito,Italian,Mozart
4/16/19,La Clemenza di Tito,Italian,Mozart
3/30/19,La Clemenza di Tito,Italian,Mozart
4/3/19,La Clemenza di Tito,Italian,Mozart
5/10/19,Rigoletto,Italian,Verdi
1/5/19,Otello,Italian,Verdi
5/4/19,Rigoletto,Italian,Verdi
1/10/19,Otello,Italian,Verdi
4/26/19,Rigoletto,Italian,Verdi
1/2/19,Otello,Italian,Verdi
5/1/19,Rigoletto,Italian,Verdi
1/26/19,Adriana Lecouvreur,Italian,Cilea
3/15/19,Rigoletto,Italian,Verdi
3/20/19,Rigoletto,Italian,Verdi
3/9/19,Rigoletto,Italian,Verdi
1/19/19,Adriana Lecouvreur,Italian,Cilea
1/23/19,Adriana Lecouvreur,Italian,Cilea
1/12/19,Adriana Lecouvreur,Italian,Cilea
3/1/19,Rigoletto,Italian,Verdi
3/6/19,Rigoletto,Italian,Verdi
1/16/19,Adriana Lecouvreur,Italian,Cilea
2/23/19,Rigoletto,Italian,Verdi
1/4/19,Adriana Lecouvreur,Italian,Cilea
2/16/19,Rigoletto,Italian,Verdi
1/8/19,Adriana Lecouvreur,Italian,Cilea
2/19/19,Rigoletto,Italian,Verdi
2/12/19,Rigoletto,Italian,Verdi
11/10/18,Marnie,English,Muhly
11/3/18,Marnie,English,Muhly
11/7/18,Marnie,English,Muhly
10/27/18,Marnie,English,Muhly
10/31/18,Marnie,English,Muhly
10/19/18,Marnie,English,Muhly
10/22/18,Marnie,English,Muhly
12/13/18,La Bohème,Italian,Puccini
12/6/18,La Bohème,Italian,Puccini
12/10/18,La Bohème,Italian,Puccini
11/29/18,La Bohème,Italian,Puccini
12/3/18,La Bohème,Italian,Puccini
10/13/18,La Bohème,Italian,Puccini
10/6/18,La Bohème,Italian,Puccini
10/10/18,La Bohème,Italian,Puccini
9/29/18,La Bohème,Italian,Puccini
10/3/18,La Bohème,Italian,Puccini
9/25/18,La Bohème,Italian,Puccini
10/20/18,Samson et Dalila,French,Saint-Saëns
10/13/18,Samson et Dalila,French,Saint-Saëns
10/16/18,Samson et Dalila,French,Saint-Saëns
10/5/18,Samson et Dalila,French,Saint-Saëns
10/9/18,Samson et Dalila,French,Saint-Saëns
9/28/18,Samson et Dalila,French,Saint-Saëns
10/1/18,Samson et Dalila,French,Saint-Saëns
9/24/18,Samson et Dalila,French,Saint-Saëns
5/11/19,Dialogues Carmelites,French,Poulenc
5/3/19,Dialogues Carmelites,French,Poulenc
5/8/19,Dialogues Carmelites,French,Poulenc
3/23/19,Samson et Dalila,French,Saint-Saëns
3/28/19,Samson et Dalila,French,Saint-Saëns
3/16/19,Samson et Dalila,French,Saint-Saëns
3/19/19,Samson et Dalila,French,Saint-Saëns
3/13/19,Samson et Dalila,French,Saint-Saëns
1/31/19,Pelléas et Mélisande,French,Debussy
1/25/19,Pelléas et Mélisande,French,Debussy
1/19/19,Pelléas et Mélisande,French,Debussy
1/22/19,Pelléas et Mélisande,French,Debussy
1/15/19,Pelléas et Mélisande,French,Debussy
4/18/19,Don Giovanni,Italian,Mozart
4/12/19,Don Giovanni,Italian,Mozart
4/15/19,Don Giovanni,Italian,Mozart
4/4/19,Don Giovanni,Italian,Mozart
4/9/19,Don Giovanni,Italian,Mozart
2/16/19,Don Giovanni,Italian,Mozart
2/20/19,Don Giovanni,Italian,Mozart
2/9/19,Don Giovanni,Italian,Mozart
2/13/19,Don Giovanni,Italian,Mozart
2/2/19,Don Giovanni,Italian,Mozart
2/6/19,Don Giovanni,Italian,Mozart
1/30/19,Don Giovanni,Italian,Mozart
2/9/19,Iolanta,Russian,Tchaikovsky
2/14/19,Iolanta,Russian,Tchaikovsky
2/1/19,Iolanta,Russian,Tchaikovsky
2/4/19,Iolanta,Russian,Tchaikovsky
1/24/19,Iolanta,Russian,Tchaikovsky
1/28/19,Iolanta,Russian,Tchaikovsky
12/29/18,Die Zauberflöte,English,Mozart
12/22/18,Die Zauberflöte,English,Mozart
12/27/18,Die Zauberflöte,English,Mozart
12/19/18,Die Zauberflöte,English,Mozart
12/24/18,Die Zauberflöte,English,Mozart
5/9/19,Siegfried,German,Wagner
5/2/19,Siegfried,German,Wagner
3/14/19,Das Rheingold,German,Wagner
1/5/19,Die Zauberflöte,English,Mozart
1/3/19,Die Zauberflöte,English,Mozart
1/1/19,Die Zauberflöte,English,Mozart
3/2/19,La Fille du régiment,French,Donizetti
2/23/19,La Fille du régiment,French,Donizetti
2/26/19,La Fille du régiment,French,Donizetti
2/15/19,La Fille du régiment,French,Donizetti
2/18/19,La Fille du régiment,French,Donizetti
2/7/19,La Fille du régiment,French,Donizetti
2/11/19,La Fille du régiment,French,Donizetti