opera1,track_1,track_2,track_3,track_4,track_5,youtube_1,youtube_2,youtube_3,youtube_4,youtube_5,act_1,act_2,act_3,act_4,act_5
Die_Zauberflöte5,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte6,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte7,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Die_Zauberflöte8,Der hölle Rache,Overture,Papagena Papagena Papagena!,Zu hilfe zu hilfe!,Der Vogelfänger bin ich ja,http://www.youtube.com/watch?v=JzFi-7H9TKs,http://www.youtube.com/watch?v=s2Gedb05J5M,http://www.youtube.com/watch?v=87UE2GC5db0,http://www.youtube.com/watch?v=61eIRl8BQFY,http://www.youtube.com/watch?v=DpMCRXyW7nk,2.11,1.01,2.3,1.02,1.04
Don_Giovanni1,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni2,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni3,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni4,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni5,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni6,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni7,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni8,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni9,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni10,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni11,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Don_Giovanni12,La ci darem la mano,Don Giovanni a cenar teco,Sola sola in buio loco,Leporello!,Ah! taci ingiusto core,http://www.youtube.com/watch?v=iJnJjpMdT3Y,http://www.youtube.com/watch?v=RzQMtnjiceY,http://www.youtube.com/watch?v=PaUSkXQZZ_s,http://www.youtube.com/watch?v=INF9r5jju0A,http://www.youtube.com/watch?v=1IwaqfepCgc,1.12,2.2,2.08,2.01-2 ,2.02-1 
Falstaff1,Dal labbro il canto estasiato vola,E sogno? o realta?,Tutto nel mondo e burla,Ah! Ah! Ah! Ah!,Fulgida Alice amor t'offro,http://www.youtube.com/watch?v=MtnLbOA_abA,http://www.youtube.com/watch?v=6Jigx8fzP2o,http://www.youtube.com/watch?v=eZOClxjcSYg,http://www.youtube.com/watch?v=4FcaQrfCHPw,http://www.youtube.com/watch?v=dzIaqx9opX8,3.06-1 ,2.05-1 ,3.15-2 ,3.14,1.06
Falstaff2,Dal labbro il canto estasiato vola,E sogno? o realta?,Tutto nel mondo e burla,Ah! Ah! Ah! Ah!,Fulgida Alice amor t'offro,http://www.youtube.com/watch?v=MtnLbOA_abA,http://www.youtube.com/watch?v=6Jigx8fzP2o,http://www.youtube.com/watch?v=eZOClxjcSYg,http://www.youtube.com/watch?v=4FcaQrfCHPw,http://www.youtube.com/watch?v=dzIaqx9opX8,3.06-1 ,2.05-1 ,3.15-2 ,3.14,1.06
Falstaff3,Dal labbro il canto estasiato vola,E sogno? o realta?,Tutto nel mondo e burla,Ah! Ah! Ah! Ah!,Fulgida Alice amor t'offro,http://www.youtube.com/watch?v=MtnLbOA_abA,http://www.youtube.com/watch?v=6Jigx8fzP2o,http://www.youtube.com/watch?v=eZOClxjcSYg,http://www.youtube.com/watch?v=4FcaQrfCHPw,http://www.youtube.com/watch?v=dzIaqx9opX8,3.06-1 ,2.05-1 ,3.15-2 ,3.14,1.06
Falstaff4,Dal labbro il canto estasiato vola,E sogno? o realta?,Tutto nel mondo e burla,Ah! Ah! Ah! Ah!,Fulgida Alice amor t'offro,http://www.youtube.com/watch?v=MtnLbOA_abA,http://www.youtube.com/watch?v=6Jigx8fzP2o,http://www.youtube.com/watch?v=eZOClxjcSYg,http://www.youtube.com/watch?v=4FcaQrfCHPw,http://www.youtube.com/watch?v=dzIaqx9opX8,3.06-1 ,2.05-1 ,3.15-2 ,3.14,1.06
Falstaff5,Dal labbro il canto estasiato vola,E sogno? o realta?,Tutto nel mondo e burla,Ah! Ah! Ah! Ah!,Fulgida Alice amor t'offro,http://www.youtube.com/watch?v=MtnLbOA_abA,http://www.youtube.com/watch?v=6Jigx8fzP2o,http://www.youtube.com/watch?v=eZOClxjcSYg,http://www.youtube.com/watch?v=4FcaQrfCHPw,http://www.youtube.com/watch?v=dzIaqx9opX8,3.06-1 ,2.05-1 ,3.15-2 ,3.14,1.06
Falstaff6,Dal labbro il canto estasiato vola,E sogno? o realta?,Tutto nel mondo e burla,Ah! Ah! Ah! Ah!,Fulgida Alice amor t'offro,http://www.youtube.com/watch?v=MtnLbOA_abA,http://www.youtube.com/watch?v=6Jigx8fzP2o,http://www.youtube.com/watch?v=eZOClxjcSYg,http://www.youtube.com/watch?v=4FcaQrfCHPw,http://www.youtube.com/watch?v=dzIaqx9opX8,3.06-1 ,2.05-1 ,3.15-2 ,3.14,1.06
Falstaff7,Dal labbro il canto estasiato vola,E sogno? o realta?,Tutto nel mondo e burla,Ah! Ah! Ah! Ah!,Fulgida Alice amor t'offro,http://www.youtube.com/watch?v=MtnLbOA_abA,http://www.youtube.com/watch?v=6Jigx8fzP2o,http://www.youtube.com/watch?v=eZOClxjcSYg,http://www.youtube.com/watch?v=4FcaQrfCHPw,http://www.youtube.com/watch?v=dzIaqx9opX8,3.06-1 ,2.05-1 ,3.15-2 ,3.14,1.06
Götterdämmerung1,Finale,Siegfried's Funeral March,Prologue,Brünnhilde's Immolation,Waltraute's Plea,http://www.youtube.com/watch?v=pzpXh99ROLM,http://www.youtube.com/watch?v=a53s4jyCqqU,http://www.youtube.com/watch?v=ifPEx6rAFFs,http://www.youtube.com/watch?v=2JgMt8GWdyU,http://www.youtube.com/watch?v=OK3PGtKb3ww,3,3,1,3,3
Götterdämmerung2,Finale,Siegfried's Funeral March,Prologue,Brünnhilde's Immolation,Waltraute's Plea,http://www.youtube.com/watch?v=pzpXh99ROLM,http://www.youtube.com/watch?v=a53s4jyCqqU,http://www.youtube.com/watch?v=ifPEx6rAFFs,http://www.youtube.com/watch?v=2JgMt8GWdyU,http://www.youtube.com/watch?v=OK3PGtKb3ww,3,3,1,3,3
Iolanta1,Atchevo eta prezhde ne znala,"Spi, pust'Ang'ely krylami navevajut sny","Gaspot'moj, jesli greshen ja",Ne tarapis,Iolanta! Gde ty?,http://www.youtube.com/watch?v=vWyuvjECZ4w,http://www.youtube.com/watch?v=5c3iJVCQRhY,http://www.youtube.com/watch?v=VXQdgffxJpc,http://www.youtube.com/watch?v=8feiR5q85-c,http://www.youtube.com/watch?v=5HtlESy8K9E,1.03,1.06,1.08,1.11,1.16
Iolanta2,Atchevo eta prezhde ne znala,"Spi, pust'Ang'ely krylami navevajut sny","Gaspot'moj, jesli greshen ja",Ne tarapis,Iolanta! Gde ty?,http://www.youtube.com/watch?v=vWyuvjECZ4w,http://www.youtube.com/watch?v=5c3iJVCQRhY,http://www.youtube.com/watch?v=VXQdgffxJpc,http://www.youtube.com/watch?v=8feiR5q85-c,http://www.youtube.com/watch?v=5HtlESy8K9E,1.03,1.06,1.08,1.11,1.16
Iolanta3,Atchevo eta prezhde ne znala,"Spi, pust'Ang'ely krylami navevajut sny","Gaspot'moj, jesli greshen ja",Ne tarapis,Iolanta! Gde ty?,http://www.youtube.com/watch?v=vWyuvjECZ4w,http://www.youtube.com/watch?v=5c3iJVCQRhY,http://www.youtube.com/watch?v=VXQdgffxJpc,http://www.youtube.com/watch?v=8feiR5q85-c,http://www.youtube.com/watch?v=5HtlESy8K9E,1.03,1.06,1.08,1.11,1.16
Iolanta4,Atchevo eta prezhde ne znala,"Spi, pust'Ang'ely krylami navevajut sny","Gaspot'moj, jesli greshen ja",Ne tarapis,Iolanta! Gde ty?,http://www.youtube.com/watch?v=vWyuvjECZ4w,http://www.youtube.com/watch?v=5c3iJVCQRhY,http://www.youtube.com/watch?v=VXQdgffxJpc,http://www.youtube.com/watch?v=8feiR5q85-c,http://www.youtube.com/watch?v=5HtlESy8K9E,1.03,1.06,1.08,1.11,1.16
Iolanta5,Atchevo eta prezhde ne znala,"Spi, pust'Ang'ely krylami navevajut sny","Gaspot'moj, jesli greshen ja",Ne tarapis,Iolanta! Gde ty?,http://www.youtube.com/watch?v=vWyuvjECZ4w,http://www.youtube.com/watch?v=5c3iJVCQRhY,http://www.youtube.com/watch?v=VXQdgffxJpc,http://www.youtube.com/watch?v=8feiR5q85-c,http://www.youtube.com/watch?v=5HtlESy8K9E,1.03,1.06,1.08,1.11,1.16
Iolanta6,Atchevo eta prezhde ne znala,"Spi, pust'Ang'ely krylami navevajut sny","Gaspot'moj, jesli greshen ja",Ne tarapis,Iolanta! Gde ty?,http://www.youtube.com/watch?v=vWyuvjECZ4w,http://www.youtube.com/watch?v=5c3iJVCQRhY,http://www.youtube.com/watch?v=VXQdgffxJpc,http://www.youtube.com/watch?v=8feiR5q85-c,http://www.youtube.com/watch?v=5HtlESy8K9E,1.03,1.06,1.08,1.11,1.16
La_Bohème1,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème10,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème11,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème2,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème3,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème4,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème5,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème6,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème7,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème8,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Bohème9,Che gelida manina,Quando men vo,Mi chiamano Mimì,Donde lieta usci,"Vecchia zimarra, senti",http://www.youtube.com/watch?v=OkHGUaB1Bs8,http://www.youtube.com/watch?v=m1_BKpgUG4I,http://www.youtube.com/watch?v=UgaN3vIqJUY,http://www.youtube.com/watch?v=gWItqcoF5R8,http://www.youtube.com/watch?v=ArYceMAJiH8,,,,,
La_Clemenza_di_Tito1,Non piu di fiori,Overture,Del piu sublime soglio,Deh! per questo,Parto parto ma tu ben mio,http://www.youtube.com/watch?v=EWAZx9JHqAs,http://www.youtube.com/watch?v=zWH3G_wbhO0,http://www.youtube.com/watch?v=G32buVYqTe8,http://www.youtube.com/watch?v=wwdOPAuvUJs,http://www.youtube.com/watch?v=DaKX21earkk,2.21,1.01,1.13,2.15,1.19
La_Clemenza_di_Tito2,Non piu di fiori,Overture,Del piu sublime soglio,Deh! per questo,Parto parto ma tu ben mio,http://www.youtube.com/watch?v=EWAZx9JHqAs,http://www.youtube.com/watch?v=zWH3G_wbhO0,http://www.youtube.com/watch?v=G32buVYqTe8,http://www.youtube.com/watch?v=wwdOPAuvUJs,http://www.youtube.com/watch?v=DaKX21earkk,2.21,1.01,1.13,2.15,1.19
La_Clemenza_di_Tito3,Non piu di fiori,Overture,Del piu sublime soglio,Deh! per questo,Parto parto ma tu ben mio,http://www.youtube.com/watch?v=EWAZx9JHqAs,http://www.youtube.com/watch?v=zWH3G_wbhO0,http://www.youtube.com/watch?v=G32buVYqTe8,http://www.youtube.com/watch?v=wwdOPAuvUJs,http://www.youtube.com/watch?v=DaKX21earkk,2.21,1.01,1.13,2.15,1.19
La_Clemenza_di_Tito4,Non piu di fiori,Overture,Del piu sublime soglio,Deh! per questo,Parto parto ma tu ben mio,http://www.youtube.com/watch?v=EWAZx9JHqAs,http://www.youtube.com/watch?v=zWH3G_wbhO0,http://www.youtube.com/watch?v=G32buVYqTe8,http://www.youtube.com/watch?v=wwdOPAuvUJs,http://www.youtube.com/watch?v=DaKX21earkk,2.21,1.01,1.13,2.15,1.19
La_Clemenza_di_Tito5,Non piu di fiori,Overture,Del piu sublime soglio,Deh! per questo,Parto parto ma tu ben mio,http://www.youtube.com/watch?v=EWAZx9JHqAs,http://www.youtube.com/watch?v=zWH3G_wbhO0,http://www.youtube.com/watch?v=G32buVYqTe8,http://www.youtube.com/watch?v=wwdOPAuvUJs,http://www.youtube.com/watch?v=DaKX21earkk,2.21,1.01,1.13,2.15,1.19
La_Clemenza_di_Tito6,Non piu di fiori,Overture,Del piu sublime soglio,Deh! per questo,Parto parto ma tu ben mio,http://www.youtube.com/watch?v=EWAZx9JHqAs,http://www.youtube.com/watch?v=zWH3G_wbhO0,http://www.youtube.com/watch?v=G32buVYqTe8,http://www.youtube.com/watch?v=wwdOPAuvUJs,http://www.youtube.com/watch?v=DaKX21earkk,2.21,1.01,1.13,2.15,1.19
La_fanciulla_del_West1,Act II duet,Ch'ella mi creda libero e lontano,Card scene,Vieni fuori / Una parola Sola,Prelude,http://www.youtube.com/watch?v=FlN4EZDGNZ0,http://www.youtube.com/watch?v=5I9NRyramOY,http://www.youtube.com/watch?v=wsSLvovPDTc,http://www.youtube.com/watch?v=2qewBuVvSRI,http://www.youtube.com/watch?v=2pDwwt9JOns&start_radio=1&list=RD2pDwwt9JOns, , , , , 
La_fanciulla_del_West2,Act II duet,Ch'ella mi creda libero e lontano,Card scene,Vieni fuori / Una parola Sola,Prelude,http://www.youtube.com/watch?v=FlN4EZDGNZ0,http://www.youtube.com/watch?v=5I9NRyramOY,http://www.youtube.com/watch?v=wsSLvovPDTc,http://www.youtube.com/watch?v=2qewBuVvSRI,http://www.youtube.com/watch?v=2pDwwt9JOns&start_radio=1&list=RD2pDwwt9JOns, , , , , 
La_fanciulla_del_West3,Act II duet,Ch'ella mi creda libero e lontano,Card scene,Vieni fuori / Una parola Sola,Prelude,http://www.youtube.com/watch?v=FlN4EZDGNZ0,http://www.youtube.com/watch?v=5I9NRyramOY,http://www.youtube.com/watch?v=wsSLvovPDTc,http://www.youtube.com/watch?v=2qewBuVvSRI,http://www.youtube.com/watch?v=2pDwwt9JOns&start_radio=1&list=RD2pDwwt9JOns, , , , , 
La_fanciulla_del_West4,Act II duet,Ch'ella mi creda libero e lontano,Card scene,Vieni fuori / Una parola Sola,Prelude,http://www.youtube.com/watch?v=FlN4EZDGNZ0,http://www.youtube.com/watch?v=5I9NRyramOY,http://www.youtube.com/watch?v=wsSLvovPDTc,http://www.youtube.com/watch?v=2qewBuVvSRI,http://www.youtube.com/watch?v=2pDwwt9JOns&start_radio=1&list=RD2pDwwt9JOns, , , , , 
